	TCGA-BH-A0B5	TCGA-BH-A0C3	TCGA-A7-A13F	TCGA-BH-A18P	TCGA-AC-A2FM
TMBIM6	238.7297679	186.8039099	451.3972151	198.9559596	402.8348031
S1PR4	0.569027213	1.365850419	0.240832906	0.282836341	0.585157834
ITGA2B	0.38379353	0.342372583	0.452849953	0.074610505	0.576772886
PHACTR4	10.6947845	7.872704364	5.923606401	12.43303238	7.557260095
NLGN2	9.267541896	5.514250857	5.901238563	4.911612569	9.32815748
NLGN3	0.70486161	0.518433902	0.322844856	0.85528128	0.453164702
PHACTR3	0.149802265	0.05786251	0.03586361	0.083394724	0.018953903
NUP107	11.14277218	5.522274539	8.024114554	5.803801715	5.831742478
KRTAP2-3	0	0	0	0	0.018861068
KRTAP2-2	0	0	0	0	0
KRTAP2-1	0	0	0	0	0
KRTAP2-4	0	0	0	0	0
MIR4708	0	0	0	0	0
MIR4709	43.0548055	51.85807882	28.36060536	29.82372889	39.07633872
MIR4704	0	0	0	0	0
MIR4705	0	0	0	0	0
MIR4706	0.206198014	0	0	0	0.201261396
MIR4707	9.08343266	9.622816973	8.358140974	9.88361846	11.33595501
MIR4700	8.904896428	8.323677673	2.710443817	15.44096738	18.11089125
MIR4701	1.073538869	0	0	1.195275356	1.047837111
MIR4703	0	0	0	0	0
SBF1P1	0	0	0.006469801	0	0
LOC101928035	0	0.011075686	0.020594376	0	0.009329245
EPN2-AS1	0.014208603	0.197575349	0.045921996	0.015819821	0.069342162
NR1D1	12.79707129	8.326270913	11.74953708	12.72017466	12.24064261
NR1D2	19.76694945	10.83668539	10.39423086	27.41031322	13.89180852
PLPBP	12.30631616	17.87250968	17.25924027	15.27244954	26.27647184
OGFR	11.53586238	9.146403838	3.389782987	7.050586653	19.60967429
CHMP1B-AS1	0	0	0	0	0
PTCH2	1.034394002	1.103503155	0.261791352	0.197432839	0.634624205
PTCH1	0.505484036	0.7947691	0.152612007	1.497786429	1.600507872
AOAH-IT1	0	0	0	0	0
TIMM44	5.500019871	5.218891403	4.792435084	4.972142517	9.885854379
RAD9B	0.548001394	0.141798754	0.544522939	0.207330252	0.290809418
RAD9A	4.988518048	2.462622623	2.258942183	2.239743602	17.52079661
ERGIC2	9.742696917	9.066671493	12.3407943	12.4179077	7.906125246
ERGIC3	40.25127921	37.90826383	103.3315194	32.93225165	41.38486003
ERGIC1	34.17164422	27.64954449	51.02696305	42.86785446	26.85441102
MIR3165	3.156204275	0.783715551	0.242876337	1.757054773	0
MIR3164	0.611141103	2.596647909	0	0.226814299	1.789529042
MIR3167	0	0	0	0	0
MIR3166	0	0	0	0	0
MIR3161	0	0	0	0	0
MIR3163	0	0	0	0	0
MIR3162	0.206198014	0	0	0	0
B3GAT3	11.47643117	9.941696443	16.49018292	6.551738422	16.5917972
B3GAT2	0.097869461	0.089533384	0.016648035	0.060218937	0.050277028
B3GAT1	0.048837797	0.042872842	0.006377497	0.021420799	0.020223027
MIR3169	0	0	0	0	0
MIR3168	0	0.238937668	0	0	0
CALM2	107.5448609	60.68159457	61.84219007	120.4389191	53.95392852
TTC30A	5.818131491	4.289121089	5.588188186	10.18629662	3.228872791
TTC30B	6.823065094	4.219031313	4.140143681	6.53763845	4.124831525
CALM1	34.25316992	36.60729743	22.1520241	44.22363686	86.1327205
GSDMA	0.295704597	1.809926048	0.816848667	0.109745574	0.007400643
GSDMB	1.855467857	2.60464313	0.703333677	1.265666042	3.739474235
GSDMC	0.074917206	0.260437172	0.372509719	0.218156085	0.011249785
GSDMD	17.69151557	13.00192677	10.63533451	8.757798417	43.30377339
UPK1A	0.198046702	0.071716284	0.093345591	0.027563085	0.072489463
UPK1B	0	0	0.008038714	0	0
DLGAP3	0.255090327	0.044338949	0.361841161	0.430758965	0.103742988
DLGAP1	0.240229374	0.040461112	0.012037486	0.135290439	0.040897327
DLGAP4	14.99406083	9.447566572	10.94725917	12.09344218	17.49675761
DLGAP5	7.400523776	4.044673247	4.957538537	9.80552792	4.077477953
MIR7973-1	0	0	0	0	0
CYP27B1	0.732362599	1.976375698	0.169448607	0.20248451	0.115140241
OIP5	3.173714424	1.426666658	5.143436988	3.929612789	2.550288017
FAM169A	0.6802731	0.188503011	0.778018586	1.358406048	1.474723811
INO80B-WBP1	0.008288352	0.009604357	0.017858554	0.055369373	0.016179838
MIR506	0	0	0	0	0
PTPN18	18.17035188	10.70245431	10.95972109	21.80559835	9.00629063
MIR505	0	0	0	0	0
PTPN13	13.09248821	6.412668312	0.617677289	13.87138071	13.09534319
PTPN12	18.52681911	17.73144071	14.41298327	24.47631735	23.72722014
PTPN11	28.21906481	32.67721929	25.43848425	35.50113884	40.78678994
PTPN14	4.26221718	4.369644579	2.064759646	3.175738792	0.725038922
LYAR	4.753846764	4.798948176	3.990335677	4.911375612	7.258949197
LOC145694	0.836080603	0.415213537	0.820310807	0.531937112	0.357027943
MIR548AG1	0	0	0	0	0
C2orf81	3.917968817	2.041062202	0.814994052	2.24398481	6.292795391
C2orf80	0	0	0	0	0
C2orf83	0	0	0	0	0
SNORA81	0	0	0	0	0
SNORA84	0	0	0.273920681	0	0
C2orf88	0.315778317	0.692628384	0.179210904	0.232298387	0.099070142
CDK1	25.18385366	7.227089472	16.97848318	14.54421452	11.23459443
MZB1	4.411167907	1.689487989	2.03554519	11.80222669	1.619122698
CDK2	18.96640473	10.45557855	19.3384202	10.67943537	12.35426594
HLA-DQB1	8.078303371	11.9259325	7.85608869	52.67248719	13.44437619
MSMB	12.06258385	4638.696062	2.295477574	2.525383602	77.08311478
HLA-DQB2	11.51394258	11.03307642	7.257547344	36.83428433	0.415027199
LOC100129027	0	0	0	0	0
ATP2B1-AS1	0.377083484	0.19959716	0.225690429	0.18141397	0.572531043
CDK7	14.57365628	7.88089325	15.10572339	16.1795763	10.78624636
FOXS1	2.397149624	2.27271568	2.251071431	1.098991802	6.130919563
LOC643733	0.45538786	0.65051848	0.126879907	0.257884751	0.44065358
CAMKK2	16.08612264	11.12082303	10.15255327	18.62459227	19.4917205
CAMKK1	1.414333957	0.794377629	1.042791384	1.678682448	0.844733986
MYDGF	34.24976055	46.49516274	90.34044437	36.20391464	31.54142696
CHMP3	19.39398109	12.79825061	14.36615392	20.39023607	13.33508754
RPL36AL	139.118981	153.959134	90.27283686	116.6631206	216.9117631
CHMP7	12.40585219	14.60500138	22.35284294	19.7832955	39.80074773
CHMP6	8.757476957	8.34409144	8.712242537	8.692834721	22.96299408
CHMP5	24.66904731	27.24969133	40.2041635	31.03464945	66.93903515
OR52N4	0.065219816	0.056681453	0	0.054461678	0
OR52N5	0	0	0	0	0.015960768
OR52N2	0.016336461	0.018930327	0	0	0
OR52N1	0.017557879	0	0	0	0.017137523
LY6G6C	0.199281127	0.035526544	0.04954413	0.904583956	0.463831795
LY6G6D	0.027537846	0	0	0	0
HOXA11	0.175898436	0.433132782	0.047375098	0.195844857	0.064382709
HOXA10	0.392260156	1.622610427	0.299746221	0.258997823	0.792449782
GALNTL5	0	0	0	0	0
GALNTL6	0.043907995	0.008479935	0.234545694	0.22202867	0.117856165
LINC02018	0.063564801	0.09470247	0.078263052	0.020220824	0.079769554
LINC02010	0	0	0	0	0
LINC02011	0.004414683	0	0	0	0
LINC02012	0.186235656	0.249880321	0.253436178	0.087307069	0.650570171
LINC02015	0.061893713	0.202122979	0	0.131559842	0.021967966
LINC02016	0.018239738	0	0	0	0
TDH	0.098199899	0.134481285	0	0.069577143	1.821128727
KRTAP11-1	0	0	0	0	0
TDG	7.993737263	5.095030222	4.127609783	8.785017889	11.62948525
SCAMP1-AS1	3.368437877	2.492845223	2.805546971	4.706396712	3.996925542
HN1	19.62227175	41.84866576	21.05959801	17.95433825	47.77971487
GOLGA8IP	0	0.015083055	0	0	0.012704722
LOXHD1	0.088102788	0.156395564	0.044428598	0.062612817	0.106119645
LRRC26	0.951000934	0.38894072	0.301335406	1.416979655	2.429786055
LRRC25	3.304632693	2.401447236	2.481562572	1.582440634	7.82460973
LRRC24	0	0	0.010279755	0	0.176955562
KIAA1522	57.02030164	29.1971816	51.88046211	54.70939615	35.1123365
MPDU1	14.05674148	13.10367629	29.06198359	23.1523199	21.71319449
LRRC20	5.284698685	3.345654662	4.537599976	0.856888781	2.503969372
LRRC29	0.71680806	0.642160943	0.947451332	0.502999292	1.381655542
LRRC28	1.080567373	1.75679313	0.414216837	1.255850658	1.207655138
GCNT4	1.433881836	1.622745559	0.741223246	0.176256845	1.146979783
GCNT7	0.311295065	0.161375537	0.105905379	0.100330162	0.0799585
GCNT1	6.681670707	2.543467999	5.493184054	8.924895266	4.667844385
GCNT3	0.054837526	0.07262229	0.09565014	0.043611398	0.012743965
GCNT2	2.034143868	1.484834478	1.919774846	3.803800083	0.255245341
LPCAT4	3.167431805	3.266161912	3.974133018	1.580894249	2.599832565
LPCAT2	2.547941106	3.176370998	6.452269938	1.677828214	0.678861535
LPCAT3	8.956892631	7.099053031	12.20549972	4.37072355	10.63205389
LPCAT1	10.92760571	13.96604283	27.33480793	22.10426543	11.08022396
TAGLN	92.82048104	59.47894826	50.74081653	62.91216029	41.70730102
CCDC178	0.13979995	0.36777713	0.138398806	0.03365468	0.06638253
CCDC179	0.018438645	0	0	0	0.017997202
ALPP	0.005527374	0	0.005954797	0	0
MIR513B	0	0	0	0	0
MIR513C	0	0	0	0	0
CCDC170	2.536703605	1.829489152	2.154692728	0.621845367	12.18494951
CCDC171	0.667665467	0.258754474	0.430614741	0.275969379	0.296416679
CCDC172	0	0	0	0	0
CCDC173	4.075822828	0.184011925	0.488794059	0.884028005	0.228804324
CCDC174	10.1515991	6.13241991	4.927876182	6.998713671	7.996461653
CCDC175	0.06773716	0.00603787	0.005613475	0.029007068	0
CCDC177	0.061395197	0.075886279	0.158742704	0.0182286	1.849695031
PDK1	1.428049059	1.391499256	0.889795892	1.173832198	0.585487698
PDK3	5.684179181	5.365325385	4.771911702	5.406680602	4.041657428
PDK2	4.081298631	10.58466405	6.989175375	1.435704306	8.307421233
EBP	14.69732199	14.143642	32.24992455	7.978797913	16.91447894
PDK4	32.7912792	90.16891076	8.819651887	2.499524698	6.701438881
LNPEP	9.694602391	7.298883691	7.47792154	6.842865284	4.484229418
ALPI	0	0	0.103813024	0	0
SEC61A1	74.31776809	101.8563249	118.7609442	87.70310654	88.01948852
SEC61A2	2.57336807	2.686767433	1.944375169	2.903640055	6.030749429
ALPL	1.658772853	4.352527335	3.077348997	1.139426939	11.33890777
PECR	5.765379431	11.18801977	0.778547654	2.703737646	1.447032754
MIR193A	0	0.222646463	0	0.213927123	1.500312227
MIR193B	0	0	0	0	0
LINC01091	0.058686515	0.052892488	0.009366615	0.326707061	0.038187662
LINC01090	0	0	0	0	0
LINC01095	0	0.052085659	0	0.008340978	0
LINC01097	0	0	0	0	0
LINC01099	0.010607426	0.012291649	0	0	0
LINC01098	0	0	0	0	0
CTAGE11P	0.007185821	0.041633848	0.023224469	0.048004046	0.042082706
D21S2088E	0	0	0	0	0
DDIT3	9.616059064	10.77144596	5.568314121	8.580066044	20.24473442
DDIT4	44.4313638	51.29566797	29.34165658	86.8282169	16.63976024
DOCK9-AS1	0	0.149945577	0	0.048024456	0
RIIAD1	0.859994373	1.369162506	0.169186303	1.490393651	0.218975248
OR5R1	0	0	0	0	0
GOLGA8R	0.015256699	0.035358247	0.024654715	0.033973538	0.063288605
GOLGA8M	0.030714327	0.195750932	0.01654471	0.008549313	0.014989495
GOLGA8O	0.054643426	0.009045655	0	0	0.015238628
GOLGA8N	0.053380386	0.113402671	0.03115028	0.054480783	0.047760531
GOLGA8H	0.097941342	0.154762155	0.057553634	0.029740264	0.112977698
GOLGA8K	0.010466256	0.048512259	0.011275596	0.011653102	0
GOLGA8J	0	0	0	0	0
GOLGA8G	0.002589713	0	0	0	0
GOLGA8F	0.002985739	0	0	0	0.002914256
GOLGA8A	2.059047551	1.216210429	0.105246413	0.730711667	0.56233925
GOLGA8B	1.990630793	1.581225313	0.764727971	1.205132092	1.456691676
CT45A9	0	0	0	0	0
CT45A8	0	0	0	0	0
CT45A1	0	0	0	0	0.062277111
CT45A3	0	0	0	0	0.014153889
CT45A2	0	0	0	0	0
CT45A5	0	0	0	0	0
CT45A7	0	0	0	0	0
CT45A6	0	0	0	0	0
FTCDNL1	1.117641971	1.331274569	3.531482926	0.514436273	0.377848205
VMO1	2.526760227	0.512391861	1.928190096	4.337152636	0.904297781
OGFR-AS1	0.253117323	0.293306718	0	0.281820162	0.518820546
LRRC53	0	0	0	0	0.004276609
ATP5C1	55.23890558	55.8220438	50.51222182	75.40756349	55.96693522
MIR639	22.56098234	20.98337383	57.02989025	10.3313144	70.72162328
MIR638	0	0	0	0	0
MIR635	10.52451498	10.59615413	11.89598385	5.186641275	27.28118764
MIR634	0	0	0	0	0
MIR637	14.4308398	10.99719201	16.22939512	12.52917333	26.47803776
MIR636	50.22592697	36.21145104	46.32119464	43.01119329	53.74966767
MIR631	5.99306806	4.810641499	3.946704995	3.324232994	4.387672488
MIR630	4.090344966	4.164345196	4.8676112	5.601599444	3.211966513
MIR633	0.172533033	0.199927436	0	0	0
MIR632	12.37203714	8.791680858	10.93817834	11.62064455	12.83253035
LINC00320	0	0	0	0	0
NPC1	4.760149135	10.50048503	6.538331004	3.9656354	3.587561092
GATA3-AS1	5.834640114	1.097343364	3.587197929	5.110288029	5.15080092
LINC00324	1.770411002	1.110451909	1.644839745	1.591404076	2.116434683
LINC00327	0.093186855	0.095984758	0.066928568	0.328554333	0.085902752
C3orf58	4.582203153	3.081586114	1.039096411	3.636800084	2.267831166
RAB3GAP2	9.153724696	7.917466653	8.664092063	15.96462179	3.594570565
BHLHA15	0.254259206	0.196419938	0.228267234	0.684137868	0.289533939
RAB3GAP1	19.47163715	13.63137773	8.683314502	19.78262754	7.804837403
C3orf52	5.914091931	2.668355554	1.588316852	7.425804479	4.865237707
DAG1	46.26990517	31.62087913	74.63106043	23.34503295	40.81638097
ETHE1	16.70795258	18.23702178	24.85924102	8.016132056	20.33091432
RER1	15.4702497	19.42074952	15.87274321	16.90366347	18.93936579
KDM1A	20.61964969	16.92162279	13.23195646	19.39364504	13.8707799
KDM1B	7.359406828	8.289135096	6.937436172	5.854573146	7.55674128
CKS1B	22.41896291	15.13462665	13.93058887	11.38553456	10.81405545
OR1S1	0	0	0	0	0
OR1S2	0	0	0	0	0
MIR2355	0.194347554	0	0	0	0
RBM14-RBM4	0.505213141	0.197677574	0.558417655	0.255683174	0.81332409
FCER1G	30.02790671	31.44211507	25.98197328	24.6060575	9.467219167
BTG4	0.028164748	0	0.010114228	0	0.128288775
BTG3	2.7569372	8.182112699	6.169332798	8.408653276	3.106023665
BTG2	212.9996321	57.67003713	253.7251656	90.59770994	172.672496
SOSTDC1	0.683713594	0.150531697	0.213609395	0.106574289	0.340345798
SRD5A3	4.751138142	7.482533086	25.51850019	6.490994199	14.51704826
SRD5A2	0.32739702	0.05058405	0.027433321	0.064804086	0.014202611
SRD5A1	2.84251246	1.630412779	1.133317968	2.142432308	1.68777833
ARMT1	9.968602414	21.90038755	21.95062743	12.56819952	230.6968215
EIF1AX-AS1	0	0.051833039	0.048189749	0	0.04365988
LOC101929721	0	0	0	0	0
GGA3	7.254754179	8.648607979	5.835067415	5.389674789	10.55076498
GGA2	17.26567046	16.48411551	6.816235429	10.59182271	46.45062167
LOC101929726	0.260743871	1.208576769	1.274884686	0.156321599	0.665618948
FHOD1	4.712541787	6.591356514	9.577826322	4.160639224	4.511203289
FHOD3	2.186501482	1.579238492	2.593425292	0.867418754	0.223775383
GJC2	0.293990749	0.829837019	0.211149736	0.495189311	0.618051047
GJC3	7.393566082	1.860973306	4.733476995	5.870344286	1.537954469
GJC1	0.950844285	3.739843549	1.419816923	1.791256763	2.418343923
PSMB9	12.77474561	11.1549357	1.767020224	8.971568733	2.739827993
PSMB8	41.87443786	46.66740904	9.362120014	21.15297745	11.78111575
PSMB7	46.060044	42.42019398	66.21676067	67.12738635	63.51097875
PSMB6	38.45222725	42.78502368	56.13160644	46.63493096	55.41415644
PSMB5	38.33811061	56.51410579	40.64222441	70.47062454	61.31049292
PSMB4	88.8270088	280.9282504	115.236831	119.5834775	92.34428709
PSMB3	66.35658479	102.9997664	122.9368328	90.80671112	114.4602069
PSMB2	20.10973492	21.14640297	24.33151491	17.70219337	13.39562276
PSMB1	37.12916978	42.40783504	38.63574707	72.95749372	55.66251467
LMBR1L	5.379766553	4.199170472	2.400848857	3.200380896	8.130268127
SNORD115-14	0	0	0	0	0
TDGF1	0.003372878	0.019542079	0.043604369	0.007510707	0
MEIS1-AS2	0.016431717	0.019040708	0	0	0.016038323
SNORD115-16	0	0	0	0	0
SNORD115-17	0	0	0	0	0
PNMA5	0.004916614	0	0	0	0
LTN1	7.863587552	5.979848544	4.207101937	10.04483769	5.412516654
TRIML2	0.016631053	0.019271694	0.005972369	0.018516971	0
C9orf142	20.00045321	15.86637006	15.01764621	10.79682523	31.07523072
TRIML1	0	0.009272546	0	0	0.007810428
NACC2	3.364298442	5.938720861	1.18710356	5.528645722	4.73226602
VPS13D	5.665353009	6.708727234	3.405157053	8.332035692	3.76587885
NACC1	23.8922386	16.47484299	28.30073901	34.4953422	64.35380381
VPS13A	2.675714302	2.073182972	0.995749688	4.090249311	1.380189189
SH3KBP1	5.961762524	11.39302754	9.366286416	5.025584863	3.223594731
VPS13C	5.347924431	7.442244081	4.214400632	7.48582729	2.978821264
VPS13B	5.931437118	4.30513762	3.75952693	6.759462328	6.57037309
BEX5	0.62033984	1.78787414	0.325586811	2.851288319	1.940667274
BEX4	11.54802043	22.174783	7.983096464	56.44840876	45.06133546
BEX3	71.34336747	24.8720838	9.327125992	104.2728338	45.75118785
BEX2	3.738215705	1.882650026	1.982663974	16.55242925	3.185611931
BEX1	0.078278876	0.136061728	267.1218045	0.021788874	0.019101197
TMEM160	5.126026659	3.132498054	6.126857819	1.987618521	8.214379161
TMEM163	0.221168887	0.282202102	4.615507107	0.127274691	0.138256285
TMEM165	8.344917062	11.68898673	13.39094977	13.01089885	11.27246654
TMEM164	18.8089049	10.49735967	14.61851383	8.135925047	6.919258577
TMEM169	0.503332309	0.259222343	0.075313087	0.124535304	0.077331419
TMEM168	5.471120651	4.006800893	4.219577635	8.910071374	2.17362308
EVI2B	8.225628902	8.907577809	5.406694516	4.40656835	2.405423368
FOXN1	0.427703553	0.09696783	0.195329471	0.056937436	0.866691226
FOXN2	3.399539752	5.572945373	1.349312983	3.27326843	1.336895624
FOXN3	5.507858647	12.33146194	3.468797134	6.23310693	3.87119446
NICN1	7.75850829	3.819576472	6.169340888	2.307403782	8.350320903
COL14A1	20.40251495	41.80057962	3.935119093	6.122071264	6.300200911
TAP1	20.44648341	37.02448247	8.518975052	39.91287592	10.76436335
IFFO2	2.803466605	3.283423667	1.895754213	2.132633546	4.712599993
SNAP91	0.010168839	0.023566849	0.002738795	0.005660979	0.037220195
MACROD2	0.502298654	0.293616986	0.173421926	0.84469532	1.719592699
MACROD1	9.162338198	2.279115352	8.353597321	3.208190004	17.40405275
KRR1	5.521249654	3.780412253	4.002748449	4.553588781	5.671568242
MTCL1	0.664848174	0.618804225	2.788810998	1.646960144	0.686720093
ATP1A3	2.264555	1.055766751	6.060053856	0.367543671	0.473644059
C8orf49	0	0	0	0.009565847	1.400443883
C8orf48	1.532857489	1.301672887	1.058907213	1.094359374	3.449160705
C8orf46	0.1368263	0.165298132	0.125452653	0.100480922	1.031464656
C8orf44	2.126185515	1.149762335	0.705359421	1.23249351	2.516691408
TP53I3	5.521504791	7.364282154	3.955144499	8.337976182	2.40556117
MB	7.721012369	3.813744954	32.14638601	11.40128945	6.599851342
SLC18A3	0	0	0	0	0
SLC18A2	1.754357701	0.949958243	0.150141736	0.141477138	0.56811823
SLC18A1	0.017297429	0.010021938	0.004658753	0	10.79687607
RALBP1	20.41281658	20.21070028	21.84130947	17.28293984	23.21883082
B3GALT5-AS1	0.577944514	0.054511217	0.072399544	0.134682259	0.006559394
ZNF831	0.237333827	0.441694217	0.009685094	0.106099118	0.07019751
ZNF830	7.934675866	7.04855482	7.177612137	9.010465656	15.40124608
ZNF835	0.296977388	0.930845565	1.599710972	0.070467213	2.884418295
ZNF837	0.830751538	0.443576962	1.000285491	1.079116009	10.44581548
ZNF836	2.752966988	1.708145345	1.613834284	3.561957172	2.364299758
ZNF839	2.159656771	1.556215137	0.857018917	2.488749317	4.499326328
LRIF1	7.102300128	10.83804369	4.200533166	6.81069284	5.633318155
OXCT2P1	0.099136244	0.114876872	0.047467688	0.073585356	0.043005692
